datetime,fairPrice,spread,bidPrice,askPrice,bidVol,askVol,lastTradedPrice,lastTradedVol
2018-01-08 09:30:00,100.00,1.60,98.40,101.60,1727,7412,101.60,3638
2018-01-08 09:31:00,100.08,0.50,99.58,100.58,9174,156,99.58,3550
2018-01-08 09:32:00,100.58,1.40,99.18,101.98,1934,1153,101.98,414
2018-01-08 09:33:00,100.66,0.50,100.16,101.16,5730,1925,101.16,169
2018-01-08 09:34:00,100.78,2.00,98.78,102.78,285,1915,102.78,399
2018-01-08 09:35:00,100.84,1.20,99.64,102.04,7103,3337,102.04,656
2018-01-08 09:36:00,100.95,1.60,99.35,102.55,4865,9304,102.55,4543
2018-01-08 09:37:00,100.96,0.90,100.06,101.86,2640,2781,100.06,1287
2018-01-08 09:38:00,100.83,1.40,99.43,102.23,1690,3793,102.23,1442
2018-01-08 09:39:00,100.99,0.80,100.19,101.79,8526,3100,101.79,970
2018-01-08 09:40:00,101.08,1.30,99.78,102.38,8826,3241,102.38,1698
2018-01-08 09:41:00,101.21,0.80,100.41,102.01,9610,3009,102.01,1255
2018-01-08 09:42:00,101.25,1.40,99.85,102.65,5306,3699,102.65,523
2018-01-08 09:43:00,101.27,1.40,99.87,102.67,8373,1170,102.67,313
2018-01-08 09:44:00,101.23,2.00,99.23,103.23,2689,7331,99.23,74
2018-01-08 09:45:00,101.08,1.60,99.48,102.68,1523,162,102.68,89
2018-01-08 09:46:00,101.31,0.90,100.41,102.21,3431,8556,102.21,3132
2018-01-08 09:47:00,101.44,1.10,100.34,102.54,8581,9534,102.54,5014
2018-01-08 09:48:00,101.53,1.40,100.13,102.93,1391,9077,102.93,287
2018-01-08 09:49:00,101.57,0.70,100.87,102.27,5517,1096,100.87,270
2018-01-08 09:50:00,101.67,0.60,101.07,102.27,794,1837,102.27,81
2018-01-08 09:51:00,101.57,1.20,100.37,102.77,7651,2444,100.37,2223
2018-01-08 09:52:00,101.54,0.70,100.84,102.24,3604,7195,100.84,618
2018-01-08 09:53:00,101.60,0.70,100.90,102.30,5522,6456,100.90,2303
2018-01-08 09:54:00,101.61,1.90,99.71,103.51,4389,4767,99.71,1412
2018-01-08 09:55:00,101.46,0.29,101.17,101.76,4938,2590,101.17,2111
2018-01-08 09:56:00,101.48,1.09,100.39,102.57,300,4389,100.39,93
2018-01-08 09:57:00,101.45,1.32,100.13,102.77,2223,2495,100.13,812
2018-01-08 09:58:00,101.29,0.48,100.80,101.77,6584,3510,101.77,609
2018-01-08 09:59:00,101.27,0.78,100.49,102.05,1571,476,100.49,465
2018-01-08 10:00:00,101.22,1.28,99.94,102.49,1979,513,99.94,733
2018-01-08 10:01:00,101.19,0.78,100.42,101.97,1028,6740,101.97,3233
2018-01-08 10:02:00,101.31,0.75,100.57,102.06,5714,3027,100.57,2578
2018-01-08 10:03:00,101.27,0.96,100.32,102.23,5578,956,100.32,2076
2018-01-08 10:04:00,101.39,0.44,100.95,101.82,9685,9146,101.82,4230
2018-01-08 10:05:00,101.41,0.33,101.09,101.74,864,8506,101.09,93
2018-01-08 10:06:00,101.28,1.28,100.00,102.55,1921,9924,100.00,806
2018-01-08 10:07:00,101.17,0.60,100.56,101.77,3424,7555,100.56,1358
2018-01-08 10:08:00,101.07,1.51,99.56,102.59,5729,2230,102.59,15
2018-01-08 10:09:00,101.22,1.00,100.22,102.21,8724,6885,102.21,781
2018-01-08 10:10:00,101.29,1.40,99.89,102.69,4074,9146,99.89,504
2018-01-08 10:11:00,101.37,0.30,101.06,101.67,3507,1433,101.06,1194
2018-01-08 10:12:00,101.36,0.54,100.82,101.89,2249,9049,101.89,1690
2018-01-08 10:13:00,101.39,0.65,100.74,102.04,9406,5393,100.74,4947
2018-01-08 10:14:00,101.29,1.71,99.58,102.99,8591,6427,102.99,1476
2018-01-08 10:15:00,101.39,1.02,100.37,102.41,4069,1435,100.37,2194
2018-01-08 10:16:00,101.37,0.32,101.05,101.68,6767,9543,101.05,2414
2018-01-08 10:17:00,101.37,0.28,101.09,101.66,9367,3201,101.66,608
2018-01-08 10:18:00,101.49,1.20,100.29,102.69,4438,6364,100.29,2080
2018-01-08 10:19:00,101.36,0.61,100.75,101.96,137,1968,101.96,555
2018-01-08 10:20:00,101.31,1.31,100.00,102.62,1545,2245,102.62,1126
2018-01-08 10:21:00,101.47,1.00,100.47,102.47,6813,627,102.47,175
2018-01-08 10:22:00,101.63,1.41,100.22,103.04,9377,8534,103.04,746
2018-01-08 10:23:00,101.53,1.22,100.31,102.75,9955,5261,102.75,672
2018-01-08 10:24:00,101.51,1.66,99.85,103.17,9417,6071,99.85,4443
2018-01-08 10:25:00,101.35,0.27,101.07,101.62,3383,4007,101.07,1043
2018-01-08 10:26:00,101.36,0.54,100.83,101.90,8417,4904,100.83,405
2018-01-08 10:27:00,101.38,0.84,100.54,102.22,4852,678,100.54,544
2018-01-08 10:28:00,101.46,1.41,100.05,102.87,4404,5227,102.87,136
2018-01-08 10:29:00,101.39,0.74,100.65,102.13,6966,7603,100.65,24
2018-01-08 10:30:00,101.44,0.48,100.96,101.92,4519,3866,101.92,455
2018-01-08 10:31:00,101.36,1.05,100.31,102.40,5178,3687,102.40,325
2018-01-08 10:32:00,101.26,1.24,100.02,102.50,2171,7346,102.50,67
2018-01-08 10:33:00,101.23,1.24,99.99,102.47,7341,2048,102.47,116
2018-01-08 10:34:00,101.36,0.86,100.49,102.22,7934,9699,100.49,720
2018-01-08 10:35:00,101.25,1.77,99.48,103.01,3487,2197,99.48,51
2018-01-08 10:36:00,101.16,0.67,100.49,101.84,4472,1347,101.84,139
2018-01-08 10:37:00,101.04,0.66,100.37,101.70,7856,1837,101.70,73
2018-01-08 10:38:00,101.02,0.79,100.23,101.81,951,7538,101.81,149
2018-01-08 10:39:00,100.98,1.01,99.97,101.99,2353,7029,101.99,544
2018-01-08 10:40:00,100.82,2.10,98.72,102.91,8869,9886,102.91,80
2018-01-08 10:41:00,100.77,0.90,99.87,101.68,763,7675,99.87,13
2018-01-08 10:42:00,100.57,1.36,99.20,101.93,6433,6413,101.93,355
2018-01-08 10:43:00,100.38,1.20,99.18,101.58,1256,9680,101.58,368
2018-01-08 10:44:00,100.16,1.61,98.55,101.77,474,8028,98.55,30
2018-01-08 10:45:00,99.94,1.74,98.20,101.68,4084,191,101.68,10
2018-01-08 10:46:00,100.06,1.76,98.31,101.82,4831,7277,101.82,124
2018-01-08 10:47:00,100.10,0.78,99.32,100.88,7057,9484,99.32,694
2018-01-08 10:48:00,100.06,2.28,97.77,102.34,3303,6987,102.34,488
2018-01-08 10:49:00,100.10,1.68,98.41,101.78,3078,4558,98.41,235
2018-01-08 10:50:00,100.19,1.88,98.31,102.08,1303,3034,102.08,284
2018-01-08 10:51:00,100.21,1.16,99.05,101.37,6469,7403,99.05,539
2018-01-08 10:52:00,100.14,2.07,98.07,102.21,4051,293,102.21,11
2018-01-08 10:53:00,100.32,1.77,98.55,102.09,8222,753,98.55,94
2018-01-08 10:54:00,100.48,1.78,98.70,102.26,2513,1251,98.70,129
2018-01-08 10:55:00,100.49,2.28,98.21,102.77,9683,4777,102.77,564
2018-01-08 10:56:00,100.60,2.07,98.52,102.67,9045,6874,102.67,805
2018-01-08 10:57:00,100.66,1.67,98.98,102.33,8447,1198,98.98,4273
2018-01-08 10:58:00,100.51,2.27,98.24,102.77,1749,3295,98.24,693
