datetime,fairPrice,spread,bidPrice,askPrice,bidVol,askVol,lastTradedPrice,lastTradedVol
2018-01-08 09:30:00,350.00,4.00,346.00,354.00,272,691,346.00,31
2018-01-08 09:31:00,349.96,1.70,348.26,351.66,701,641,351.66,123
2018-01-08 09:32:00,349.91,2.90,347.01,352.81,326,737,352.81,194
2018-01-08 09:33:00,350.05,4.20,345.85,354.25,263,593,354.25,147
2018-01-08 09:34:00,350.02,4.00,346.02,354.02,458,681,346.02,122
2018-01-08 09:35:00,349.92,3.80,346.12,353.72,136,321,353.72,121
2018-01-08 09:36:00,349.98,3.50,346.48,353.48,546,497,346.48,203
2018-01-08 09:37:00,349.77,3.20,346.57,352.97,255,237,346.57,46
2018-01-08 09:38:00,349.53,3.70,345.83,353.23,376,358,353.23,106
2018-01-08 09:39:00,349.68,2.60,347.08,352.28,656,258,347.08,237
2018-01-08 09:40:00,349.42,1.60,347.82,351.02,160,126,347.82,77
2018-01-08 09:41:00,349.49,3.30,346.19,352.79,220,139,346.19,116
2018-01-08 09:42:00,349.27,2.50,346.77,351.77,133,694,346.77,48
2018-01-08 09:43:00,349.41,2.00,347.41,351.41,131,630,351.41,191
2018-01-08 09:44:00,349.61,1.60,348.01,351.21,349,566,348.01,188
2018-01-08 09:45:00,349.81,2.90,346.91,352.71,85,456,352.71,53
2018-01-08 09:46:00,349.63,4.50,345.13,354.13,84,640,345.13,37
2018-01-08 09:47:00,349.55,2.70,346.85,352.25,446,373,346.85,29
2018-01-08 09:48:00,349.69,1.90,347.79,351.59,750,591,347.79,188
2018-01-08 09:49:00,349.58,2.80,346.78,352.38,585,255,352.38,87
2018-01-08 09:50:00,349.69,3.10,346.59,352.79,360,540,352.79,216
2018-01-08 09:51:00,349.58,3.80,345.78,353.38,257,111,345.78,109
2018-01-08 09:52:00,349.49,3.10,346.39,352.59,711,101,352.59,48
2018-01-08 09:53:00,349.36,2.00,347.36,351.36,382,635,347.36,141
2018-01-08 09:54:00,349.48,2.10,347.38,351.58,186,548,351.58,70
2018-01-08 09:55:00,349.52,2.40,347.12,351.92,671,237,347.12,386
2018-01-08 09:56:00,349.32,2.00,347.32,351.32,499,75,347.32,194
2018-01-08 09:57:00,349.15,2.20,346.95,351.35,570,548,351.35,205
2018-01-08 09:58:00,349.38,3.30,346.08,352.68,338,745,346.08,64
2018-01-08 09:59:00,349.45,2.10,347.35,351.55,370,338,351.55,185
2018-01-08 10:00:00,349.32,1.80,347.52,351.12,609,695,347.52,284
2018-01-08 10:01:00,349.31,1.80,347.51,351.11,564,365,347.51,310
2018-01-08 10:02:00,349.20,3.00,346.20,352.20,300,665,352.20,88
2018-01-08 10:03:00,348.97,2.00,346.97,350.97,392,724,346.97,38
2018-01-08 10:04:00,348.79,2.30,346.49,351.09,316,706,346.49,113
2018-01-08 10:05:00,348.50,3.70,344.80,352.20,384,371,352.20,77
2018-01-08 10:06:00,348.73,3.40,345.33,352.13,101,366,352.13,192
2018-01-08 10:07:00,348.90,1.70,347.20,350.60,366,678,347.20,119
2018-01-08 10:08:00,348.62,3.20,345.42,351.82,264,591,345.42,31
2018-01-08 10:09:00,348.86,4.00,344.86,352.86,709,460,344.86,224
2018-01-08 10:10:00,348.95,3.30,345.65,352.25,180,416,345.65,65
2018-01-08 10:11:00,348.75,2.60,346.15,351.35,442,161,346.15,264
2018-01-08 10:12:00,348.45,3.90,344.55,352.35,79,345,352.35,173
2018-01-08 10:13:00,348.45,4.40,344.05,352.85,640,478,352.85,192
2018-01-08 10:14:00,348.36,2.90,345.46,351.26,484,469,345.46,212
2018-01-08 10:15:00,348.03,4.40,343.63,352.43,173,625,352.43,141
2018-01-08 10:16:00,348.32,2.60,345.72,350.92,351,384,350.92,155
2018-01-08 10:17:00,348.33,2.50,345.83,350.83,305,126,345.83,157
2018-01-08 10:18:00,348.42,2.20,346.22,350.62,194,475,350.62,212
2018-01-08 10:19:00,348.64,4.00,344.64,352.64,359,583,352.64,177
2018-01-08 10:20:00,348.53,1.94,346.59,350.46,613,670,346.59,240
2018-01-08 10:21:00,348.58,1.73,346.84,350.31,315,142,346.84,127
2018-01-08 10:22:00,348.53,3.72,344.81,352.25,365,492,352.25,69
2018-01-08 10:23:00,348.74,2.90,345.84,351.64,365,574,345.84,158
2018-01-08 10:24:00,348.58,3.01,345.57,351.59,575,159,351.59,81
2018-01-08 10:25:00,348.87,2.21,346.66,351.08,205,205,351.08,38
2018-01-08 10:26:00,348.77,3.70,345.06,352.47,341,276,345.06,154
2018-01-08 10:27:00,348.47,2.71,345.76,351.18,76,82,351.18,45
2018-01-08 10:28:00,348.60,2.11,346.49,350.71,176,97,346.49,100
2018-01-08 10:29:00,348.47,3.90,344.56,352.37,236,486,352.37,45
2018-01-08 10:30:00,348.65,1.99,346.66,350.65,97,264,350.65,25
2018-01-08 10:31:00,348.54,2.81,345.72,351.35,637,231,351.35,23
2018-01-08 10:32:00,348.72,1.72,347.00,350.44,400,606,347.00,74
2018-01-08 10:33:00,348.54,3.44,345.10,351.98,97,137,345.10,39
2018-01-08 10:34:00,348.22,2.05,346.17,350.26,546,151,350.26,63
2018-01-08 10:35:00,348.03,2.75,345.28,350.78,621,180,350.78,62
2018-01-08 10:36:00,347.92,2.66,345.26,350.59,596,127,345.26,280
2018-01-08 10:37:00,347.81,2.77,345.05,350.58,667,321,345.05,333
2018-01-08 10:38:00,347.58,1.24,346.35,348.82,545,210,346.35,212
2018-01-08 10:39:00,347.78,3.90,343.88,351.68,69,183,343.88,21
2018-01-08 10:40:00,347.88,3.29,344.59,351.17,96,613,351.17,231
2018-01-08 10:41:00,347.89,3.38,344.51,351.27,276,622,344.51,136
2018-01-08 10:42:00,347.76,3.07,344.69,350.83,375,101,350.83,39
2018-01-08 10:43:00,347.99,3.78,344.20,351.77,336,257,344.20,75
2018-01-08 10:44:00,348.02,1.98,346.04,350.00,461,228,346.04,46
2018-01-08 10:45:00,348.05,2.28,345.78,350.33,101,466,350.33,164
2018-01-08 10:46:00,348.25,1.68,346.57,349.93,475,734,346.57,27
2018-01-08 10:47:00,348.50,1.20,347.30,349.70,636,600,347.30,55
2018-01-08 10:48:00,348.43,1.34,347.10,349.77,659,305,347.10,308
2018-01-08 10:49:00,348.34,1.96,346.38,350.30,365,300,350.30,74
2018-01-08 10:50:00,348.47,2.22,346.24,350.69,129,621,350.69,53
2018-01-08 10:51:00,348.26,3.84,344.43,352.10,57,308,352.10,101
2018-01-08 10:52:00,348.33,2.75,345.58,351.09,122,199,351.09,38
2018-01-08 10:53:00,348.33,1.97,346.36,350.30,57,193,346.36,34
2018-01-08 10:54:00,348.13,3.66,344.47,351.79,264,739,351.79,375
2018-01-08 10:55:00,348.44,1.44,347.00,349.88,655,248,347.00,69
2018-01-08 10:56:00,348.40,2.80,345.60,351.21,266,126,351.21,39
2018-01-08 10:57:00,348.21,3.01,345.20,351.22,420,65,351.22,25
2018-01-08 10:58:00,348.39,3.43,344.96,351.82,672,589,351.82,146
2018-01-08 10:59:00,348.29,1.13,347.16,349.42,406,677,349.42,117
2018-01-08 11:00:00,348.31,1.32,346.99,349.63,121,700,349.63,408
2018-01-08 11:01:00,348.27,3.54,344.73,351.80,738,284,344.73,382
2018-01-08 11:02:00,348.20,2.49,345.70,350.69,375,540,350.69,245
2018-01-08 11:03:00,348.45,3.29,345.16,351.73,737,514,345.16,166
2018-01-08 11:04:00,348.26,3.49,344.77,351.75,146,678,351.75,25
2018-01-08 11:05:00,348.38,2.80,345.58,351.18,334,148,351.18,42
2018-01-08 11:06:00,348.59,1.82,346.78,350.41,204,480,350.41,225
2018-01-08 11:07:00,348.79,3.92,344.86,352.71,223,420,344.86,120
2018-01-08 11:08:00,348.61,2.61,345.99,351.22,409,204,345.99,68
2018-01-08 11:09:00,348.77,1.92,346.85,350.70,579,368,346.85,153
2018-01-08 11:10:00,348.60,1.34,347.26,349.94,543,407,347.26,52
2018-01-08 11:11:00,348.67,1.95,346.73,350.62,225,117,350.62,11
2018-01-08 11:12:00,348.88,2.66,346.22,351.55,550,201,351.55,11
2018-01-08 11:13:00,348.67,3.38,345.29,352.04,140,414,352.04,35
2018-01-08 11:14:00,348.70,3.88,344.82,352.58,667,352,344.82,14
2018-01-08 11:15:00,348.90,3.99,344.90,352.89,731,182,344.90,58
2018-01-08 11:16:00,348.85,2.71,346.14,351.56,684,635,351.56,70
2018-01-08 11:17:00,348.64,3.12,345.52,351.76,738,686,351.76,22
2018-01-08 11:18:00,348.45,3.84,344.60,352.29,691,697,344.60,63
2018-01-08 11:19:00,348.58,2.27,346.31,350.85,585,469,350.85,41
2018-01-08 11:20:00,348.39,1.30,347.09,349.68,476,572,349.68,49
2018-01-08 11:21:00,348.29,1.40,346.88,349.69,191,720,349.69,84
2018-01-08 11:22:00,348.29,3.51,344.78,351.80,289,640,351.80,215
2018-01-08 11:23:00,348.18,4.31,343.88,352.49,362,154,352.49,92
2018-01-08 11:24:00,348.41,2.59,345.82,350.99,119,311,345.82,38
2018-01-08 11:25:00,348.40,1.28,347.12,349.68,162,246,347.12,64
2018-01-08 11:26:00,348.52,4.08,344.43,352.60,447,422,344.43,48
2018-01-08 11:27:00,348.50,1.78,346.73,350.28,688,327,346.73,109
2018-01-08 11:28:00,348.40,1.81,346.60,350.21,102,430,350.21,94
2018-01-08 11:29:00,348.64,2.24,346.41,350.88,137,268,346.41,47
2018-01-08 11:30:00,348.53,1.95,346.58,350.48,678,512,346.58,121
2018-01-08 11:31:00,348.38,1.35,347.03,349.72,218,437,349.72,136
2018-01-08 11:32:00,348.33,2.87,345.46,351.20,316,493,345.46,115
