datetime,fairPrice,spread,bidPrice,askPrice,bidVol,askVol,lastTradedPrice,lastTradedVol
2018-01-08 09:30:00,500.00,0.40,499.60,500.40,910,4728,500.40,610
2018-01-08 09:31:00,499.80,0.50,499.30,500.30,1089,2348,499.30,433
2018-01-08 09:32:00,498.54,0.30,498.24,498.84,2502,1459,498.84,208
2018-01-08 09:33:00,497.56,0.50,497.06,498.06,3717,3250,497.06,582
2018-01-08 09:34:00,497.61,0.50,497.11,498.11,4867,4829,497.11,1408
2018-01-08 09:35:00,497.05,0.30,496.75,497.35,4775,3889,496.75,2116
2018-01-08 09:36:00,496.25,0.50,495.75,496.75,2513,4561,496.75,450
2018-01-08 09:37:00,496.00,0.50,495.50,496.50,2936,4430,495.50,511
2018-01-08 09:38:00,494.79,0.40,494.39,495.19,1603,509,494.39,164
2018-01-08 09:39:00,494.46,0.40,494.06,494.86,1023,3839,494.06,203
2018-01-08 09:40:00,493.65,0.40,493.25,494.05,2893,3424,493.25,198
2018-01-08 09:41:00,493.03,0.40,492.63,493.43,306,3686,493.43,1241
2018-01-08 09:42:00,493.79,0.50,493.29,494.29,3436,2292,494.29,778
2018-01-08 09:43:00,493.46,0.40,493.06,493.86,2390,2284,493.86,690
2018-01-08 09:44:00,494.34,0.40,493.94,494.74,330,1404,494.74,680
2018-01-08 09:45:00,494.03,0.50,493.53,494.53,1426,1415,494.53,595
2018-01-08 09:46:00,495.14,0.50,494.64,495.64,4041,1575,495.64,737
2018-01-08 09:47:00,496.37,0.30,496.07,496.67,3583,1847,496.07,1598
2018-01-08 09:48:00,496.31,0.40,495.91,496.71,2310,4294,495.91,122
2018-01-08 09:49:00,496.21,0.40,495.81,496.61,720,1697,495.81,237
2018-01-08 09:50:00,496.36,0.40,495.96,496.76,546,4349,495.96,108
2018-01-08 09:51:00,495.81,0.40,495.41,496.21,2082,399,496.21,179
2018-01-08 09:52:00,494.79,0.30,494.49,495.09,2404,4553,495.09,1591
2018-01-08 09:53:00,494.73,0.40,494.33,495.13,2867,2856,495.13,1318
2018-01-08 09:54:00,494.97,0.50,494.47,495.47,2012,2932,495.47,348
2018-01-08 09:55:00,494.15,0.50,493.65,494.65,1585,3782,494.65,114
2018-01-08 09:56:00,493.64,0.30,493.34,493.94,525,836,493.34,86
2018-01-08 09:57:00,494.66,0.50,494.16,495.16,4464,1571,494.16,1318
2018-01-08 09:58:00,494.86,0.50,494.36,495.36,448,3378,494.36,130
2018-01-08 09:59:00,494.48,0.50,493.98,494.98,2089,1938,493.98,683
2018-01-08 10:00:00,493.95,0.40,493.55,494.35,4583,2432,494.35,474
2018-01-08 10:01:00,493.92,0.40,493.52,494.32,4456,4360,494.32,1880
2018-01-08 10:02:00,495.04,0.40,494.64,495.44,550,4147,495.44,1259
2018-01-08 10:03:00,495.45,0.40,495.05,495.85,589,274,495.85,120
2018-01-08 10:04:00,495.02,0.30,494.72,495.32,3358,2674,494.72,913
2018-01-08 10:05:00,495.58,0.30,495.28,495.88,3786,3504,495.28,689
2018-01-08 10:06:00,496.81,0.30,496.51,497.11,1181,3325,497.11,167
2018-01-08 10:07:00,497.92,0.50,497.42,498.42,3841,4516,497.42,353
2018-01-08 10:08:00,498.08,0.50,497.58,498.58,1418,1581,497.58,542
2018-01-08 10:09:00,499.15,0.30,498.85,499.45,3408,3893,499.45,1532
2018-01-08 10:10:00,500.20,0.40,499.80,500.60,3388,3607,499.80,884
2018-01-08 10:11:00,499.91,0.50,499.41,500.41,3527,1015,499.41,394
2018-01-08 10:12:00,500.22,0.30,499.92,500.52,3776,2407,500.52,1139
2018-01-08 10:13:00,500.50,0.30,500.20,500.80,1513,3200,500.80,195
2018-01-08 10:14:00,499.54,0.50,499.04,500.04,2120,4440,499.04,123
2018-01-08 10:15:00,498.35,0.30,498.05,498.65,3163,4145,498.65,673
2018-01-08 10:16:00,497.13,0.50,496.63,497.63,707,2977,497.63,573
2018-01-08 10:17:00,497.22,0.30,496.92,497.52,1473,4767,496.92,263
2018-01-08 10:18:00,496.57,0.50,496.07,497.07,807,441,496.07,89
2018-01-08 10:19:00,496.69,0.30,496.39,496.99,3567,2499,496.39,517
2018-01-08 10:20:00,496.86,0.28,496.58,497.14,4534,4013,497.14,251
2018-01-08 10:21:00,496.07,0.39,495.68,496.46,1677,3894,496.46,653
2018-01-08 10:22:00,495.87,0.40,495.47,496.27,1664,4586,495.47,141
2018-01-08 10:23:00,497.04,0.40,496.64,497.44,742,2812,497.44,520
2018-01-08 10:24:00,496.39,0.31,496.08,496.69,1912,1588,496.69,49
2018-01-08 10:25:00,495.53,0.40,495.13,495.93,2812,4846,495.93,51
2018-01-08 10:26:00,495.03,0.41,494.62,495.44,2006,3494,494.62,397
2018-01-08 10:27:00,495.78,0.45,495.34,496.23,4959,445,496.23,56
2018-01-08 10:28:00,497.13,0.25,496.88,497.38,1386,2103,496.88,117
2018-01-08 10:29:00,496.29,0.45,495.84,496.74,2734,1877,496.74,314
2018-01-08 10:30:00,496.04,0.26,495.79,496.30,1224,3406,495.79,32
2018-01-08 10:31:00,495.68,0.25,495.42,495.93,3643,2551,495.42,598
2018-01-08 10:32:00,496.43,0.35,496.07,496.78,885,4101,496.07,54
2018-01-08 10:33:00,497.06,0.47,496.59,497.53,4079,4756,497.53,293
2018-01-08 10:34:00,496.86,0.28,496.58,497.14,2068,877,496.58,286
2018-01-08 10:35:00,496.40,0.40,496.00,496.80,2255,1425,496.00,50
2018-01-08 10:36:00,496.96,0.31,496.66,497.27,4294,944,496.66,1031
2018-01-08 10:37:00,497.80,0.52,497.28,498.32,2699,3615,498.32,129
2018-01-08 10:38:00,497.70,0.51,497.18,498.21,2032,2276,497.18,910
2018-01-08 10:39:00,496.57,0.44,496.13,497.02,1630,487,497.02,243
2018-01-08 10:40:00,496.27,0.52,495.75,496.80,2506,2152,495.75,872
2018-01-08 10:41:00,496.31,0.42,495.89,496.73,3386,1348,496.73,402
2018-01-08 10:42:00,495.59,0.51,495.08,496.10,2663,1973,495.08,33
2018-01-08 10:43:00,496.00,0.31,495.69,496.31,1886,4341,496.31,1441
2018-01-08 10:44:00,495.87,0.33,495.53,496.20,2886,4411,496.20,562
2018-01-08 10:45:00,495.18,0.33,494.85,495.51,4829,3611,495.51,99
2018-01-08 10:46:00,494.28,0.43,493.85,494.71,4309,3060,493.85,837
2018-01-08 10:47:00,494.79,0.34,494.45,495.12,2421,3027,495.12,72
2018-01-08 10:48:00,494.03,0.43,493.59,494.46,1709,2042,494.46,152
2018-01-08 10:49:00,493.72,0.36,493.36,494.07,4265,694,494.07,283
