datetime,fairPrice,spread,bidPrice,askPrice,bidVol,askVol,lastTradedPrice,lastTradedVol
2018-01-08 09:30:00,55.00,0.50,54.70,55.30,5915,5519,54.70,3423
2018-01-08 09:31:00,55.19,0.50,54.79,55.59,3627,6025,54.79,1141
2018-01-08 09:32:00,55.23,0.30,54.73,55.73,5896,6628,55.73,752
2018-01-08 09:33:00,55.35,0.50,54.95,55.75,6513,5385,55.75,2058
2018-01-08 09:34:00,55.12,0.50,54.72,55.52,2343,7449,55.52,1516
2018-01-08 09:35:00,54.86,0.40,54.46,55.26,2052,2800,55.26,558
2018-01-08 09:36:00,54.80,0.50,54.50,55.10,3984,2670,55.10,843
2018-01-08 09:37:00,54.90,0.30,54.60,55.20,1935,6915,55.20,271
2018-01-08 09:38:00,54.74,0.40,54.24,55.24,3732,2701,55.24,1230
2018-01-08 09:39:00,54.88,0.30,54.48,55.28,4081,4011,55.28,300
2018-01-08 09:40:00,54.73,0.50,54.33,55.13,4385,1768,55.13,504
2018-01-08 09:41:00,54.74,0.30,54.34,55.14,2026,6319,54.34,253
2018-01-08 09:42:00,54.87,0.30,54.57,55.17,5472,1041,55.17,2198
2018-01-08 09:43:00,55.02,0.30,54.72,55.32,3827,2844,54.72,1133
2018-01-08 09:44:00,55.13,0.30,54.83,55.43,3028,7261,55.43,947
2018-01-08 09:45:00,54.90,0.50,54.60,55.20,3831,3272,54.60,2851
2018-01-08 09:46:00,54.67,0.50,54.27,55.07,3718,7016,55.07,3510
2018-01-08 09:47:00,54.72,0.40,54.22,55.22,7278,2852,55.22,2996
2018-01-08 09:48:00,54.60,0.50,54.20,55.00,3778,4083,54.20,2486
2018-01-08 09:49:00,54.73,0.30,54.23,55.23,2817,7394,55.23,1503
2018-01-08 09:50:00,54.53,0.50,54.03,55.03,7196,2946,55.03,879
2018-01-08 09:51:00,54.71,0.50,54.21,55.21,4897,7397,55.21,1360
2018-01-08 09:52:00,54.91,0.40,54.41,55.41,1350,1887,55.41,1008
2018-01-08 09:53:00,55.14,0.30,54.74,55.54,3889,6057,54.74,1377
2018-01-08 09:54:00,55.25,0.40,54.75,55.75,2078,7330,55.75,838
2018-01-08 09:55:00,55.38,0.25,55.13,55.63,2912,5591,55.13,2674
