datetime,fairPrice,spread,bidPrice,askPrice,bidVol,askVol,lastTradedPrice,lastTradedVol
2018-01-08 09:30:00,215.00,4.00,211.00,219.00,320,14,219.00,6
2018-01-08 09:31:00,215.13,3.00,212.13,218.13,135,251,218.13,39
2018-01-08 09:32:00,215.21,3.75,211.46,218.96,461,482,211.46,204
2018-01-08 09:33:00,214.90,3.25,211.65,218.15,66,144,218.15,16
2018-01-08 09:34:00,214.92,4.00,210.92,218.92,164,292,218.92,160
2018-01-08 09:35:00,215.34,3.75,211.59,219.09,241,349,219.09,185
2018-01-08 09:36:00,215.46,4.25,211.21,219.71,263,345,219.71,18
2018-01-08 09:37:00,215.68,5.00,210.68,220.68,222,61,210.68,40
2018-01-08 09:38:00,215.16,4.50,210.66,219.66,65,436,219.66,128
2018-01-08 09:39:00,215.71,4.25,211.46,219.96,477,199,211.46,115
2018-01-08 09:40:00,215.39,3.25,212.14,218.64,148,312,218.64,162
2018-01-08 09:41:00,215.41,4.50,210.91,219.91,186,43,210.91,69
2018-01-08 09:42:00,214.84,3.25,211.59,218.09,42,267,211.59,20
2018-01-08 09:43:00,214.84,4.75,210.09,219.59,20,172,210.09,6
2018-01-08 09:44:00,214.94,3.50,211.44,218.44,372,296,211.44,138
2018-01-08 09:45:00,214.46,2.25,212.21,216.71,335,433,216.71,6
2018-01-08 09:46:00,214.09,3.50,210.59,217.59,191,433,210.59,49
2018-01-08 09:47:00,213.84,2.75,211.09,216.59,98,116,216.59,61
2018-01-08 09:48:00,214.02,4.75,209.27,218.77,50,402,209.27,12
2018-01-08 09:49:00,214.22,2.25,211.97,216.47,280,166,211.97,80
2018-01-08 09:50:00,214.22,4.50,209.72,218.72,373,487,209.72,54
2018-01-08 09:51:00,214.34,3.75,210.59,218.09,288,315,210.59,94
2018-01-08 09:52:00,214.42,2.75,211.67,217.17,92,155,211.67,16
2018-01-08 09:53:00,214.66,4.50,210.16,219.16,350,388,210.16,148
2018-01-08 09:54:00,214.65,2.75,211.90,217.40,492,350,211.90,158
2018-01-08 09:55:00,214.70,5.00,209.70,219.70,138,412,209.70,75
2018-01-08 09:56:00,214.76,4.00,210.76,218.76,156,286,210.76,30
2018-01-08 09:57:00,214.42,2.25,212.17,216.67,335,350,212.17,78
2018-01-08 09:58:00,214.18,4.50,209.68,218.68,183,448,209.68,8
2018-01-08 09:59:00,213.84,3.50,210.34,217.34,432,50,210.34,17
2018-01-08 10:00:00,213.64,4.75,208.89,218.39,69,190,208.89,9
2018-01-08 10:01:00,213.41,3.25,210.16,216.66,414,466,216.66,208
2018-01-08 10:02:00,213.59,4.50,209.09,218.09,294,340,209.09,111
2018-01-08 10:03:00,213.65,3.75,209.90,217.40,11,243,217.40,86
2018-01-08 10:04:00,213.64,3.75,209.89,217.39,41,45,209.89,5
2018-01-08 10:05:00,213.98,4.75,209.23,218.73,488,59,209.23,230
2018-01-08 10:06:00,213.47,2.75,210.72,216.22,337,211,210.72,177
2018-01-08 10:07:00,213.17,4.00,209.17,217.17,393,176,209.17,93
2018-01-08 10:08:00,213.29,5.00,208.29,218.29,56,474,208.29,19
2018-01-08 10:09:00,213.57,4.00,209.57,217.57,158,21,209.57,86
2018-01-08 10:10:00,213.55,4.75,208.80,218.30,422,395,208.80,158
